,Location,Year,Number,Population,Rate
7,Arundel,2009.0,7.0,3970.0,176.3
8,New Gloucester,2014.0,10.0,5677.0,176.1
9,New Gloucester,2016.0,10.0,5677.0,176.1
10,Rockland,2008.0,13.0,7385.0,176.0
11,Arundel,2008.0,7.0,3993.0,175.3
12,Gray,2015.0,14.0,8002.0,175.0
13,Gardiner,2013.0,10.0,5717.0,174.9
14,Kennebunk,2014.0,19.0,10876.0,174.7
15,Eliot,2013.0,11.0,6302.0,174.5
16,Eliot,2015.0,11.0,6315.0,174.2
17,Eliot,2016.0,11.0,6315.0,174.2
18,Whitefield,2014.0,4.0,2296.0,174.2
19,Buxton,2011.0,14.0,8056.0,173.8
20,Freeport,2016.0,14.0,8077.0,173.3
21,West Gardiner,2013.0,6.0,3465.0,173.2
22,North Berwick,2014.0,8.0,4623.0,173.0
23,Limerick,2010.0,5.0,2892.0,172.9
24,Kennebunkport,2010.0,6.0,3474.0,172.7
25,Hallowell,2013.0,4.0,2319.0,172.5
26,Bar Harbor,2010.0,9.0,5235.0,171.9
27,Hallowell,2012.0,4.0,2329.0,171.7
28,Gorham,2008.0,27.0,15738.0,171.6
29,Topsham,2012.0,15.0,8745.0,171.5
30,Leeds,2016.0,4.0,2337.0,171.2
31,Camden,2008.0,9.0,5259.0,171.1
32,Monmouth,2015.0,7.0,4110.0,170.3
33,Falmouth,2009.0,19.0,11198.0,169.7
34,Farmingdale,2015.0,5.0,2948.0,169.6
35,Falmouth,2011.0,19.0,11221.0,169.3
36,Monmouth,2012.0,7.0,4140.0,169.1
37,Thomaston,2009.0,5.0,2976.0,168.0
38,Limerick,2015.0,5.0,2996.0,166.9
39,Limerick,2016.0,5.0,2996.0,166.9
40,Poland,2012.0,9.0,5398.0,166.7
41,South Berwick,2010.0,12.0,7220.0,166.2
42,Poland,2016.0,9.0,5418.0,166.1
43,Ellsworth,2015.0,13.0,7840.0,165.8
44,Litchfield,2010.0,6.0,3624.0,165.6
45,Gorham,2014.0,28.0,16954.0,165.2
46,Litchfield,2016.0,6.0,3637.0,165.0
47,Camden,2010.0,8.0,4850.0,164.9
48,Windham,2009.0,28.0,17061.0,164.1
49,South Berwick,2012.0,12.0,7319.0,164.0
50,Bowdoin,2010.0,5.0,3061.0,163.3
51,Holden,2015.0,5.0,3066.0,163.1
52,Jefferson,2015.0,4.0,2452.0,163.1
53,Woolwich,2011.0,5.0,3066.0,163.1
54,Bucksport,2016.0,8.0,4939.0,162.0
55,Hampden,2016.0,12.0,7409.0,162.0
56,Boothbay,2013.0,5.0,3092.0,161.7
57,Norway,2013.0,8.0,4946.0,161.7
58,Boothbay,2012.0,5.0,3094.0,161.6
59,Bowdoin,2015.0,5.0,3096.0,161.5
60,China,2014.0,7.0,4335.0,161.5
61,Vassalboro,2010.0,7.0,4340.0,161.3
62,Eliot,2010.0,10.0,6204.0,161.2
63,Windsor,2009.0,4.0,2486.0,160.9
64,Vassalboro,2014.0,7.0,4353.0,160.8
65,Casco,2009.0,6.0,3745.0,160.2
66,Acton,2013.0,4.0,2500.0,160.0
67,Limington,2009.0,6.0,3754.0,159.8
68,Cumberland,2016.0,12.0,7547.0,159.0
69,Raymond,2010.0,7.0,4436.0,157.8
70,Hollis,2016.0,7.0,4445.0,157.5
71,Gorham,2011.0,26.0,16520.0,157.4
72,Kennebunk,2010.0,17.0,10798.0,157.4
73,Berwick,2008.0,12.0,7630.0,157.3
74,Yarmouth,2009.0,13.0,8277.0,157.1
75,Casco,2013.0,6.0,3824.0,156.9
76,Waldoboro,2012.0,8.0,5116.0,156.4
77,Casco,2015.0,6.0,3870.0,155.0
78,Casco,2016.0,6.0,3870.0,155.0
79,Windsor,2011.0,4.0,2583.0,154.9
80,Yarmouth,2013.0,13.0,8393.0,154.9
81,Belgrade,2009.0,5.0,3235.0,154.6
82,Saint George,2010.0,4.0,2591.0,154.4
83,Manchester,2011.0,4.0,2594.0,154.2
84,Raymond,2015.0,7.0,4548.0,153.9
85,Windsor,2015.0,4.0,2601.0,153.8
86,Windham,2015.0,27.0,17565.0,153.7
87,Bar Harbor,2011.0,8.0,5209.0,153.6
88,Belfast,2011.0,10.0,6516.0,153.5
89,Bar Harbor,2012.0,8.0,5220.0,153.3
90,Belfast,2016.0,10.0,6566.0,152.3
91,Minot,2016.0,4.0,2626.0,152.3
92,Pittston,2016.0,4.0,2626.0,152.3
93,North Berwick,2011.0,7.0,4606.0,152.0
94,North Berwick,2013.0,7.0,4610.0,151.8
95,York,2010.0,19.0,12529.0,151.6
96,North Berwick,2015.0,7.0,4623.0,151.4
97,Freeport,2013.0,12.0,7955.0,150.8
98,Naples,2015.0,6.0,3980.0,150.8
99,York,2012.0,19.0,12597.0,150.8
100,West Gardiner,2009.0,5.0,3342.0,149.6
101,Blue Hill,2012.0,4.0,2678.0,149.4
102,Dayton,2009.0,3.0,2010.0,149.3
103,Dayton,2014.0,3.0,2017.0,148.7
104,Shapleigh,2012.0,4.0,2690.0,148.7
105,Sidney,2008.0,6.0,4046.0,148.3
106,Kittery,2016.0,14.0,9446.0,148.2
107,Buxton,2012.0,12.0,8104.0,148.1
108,Shapleigh,2016.0,4.0,2700.0,148.1
109,Mount Desert,2011.0,3.0,2029.0,147.9
110,Bristol,2012.0,4.0,2708.0,147.7
111,Camden,2013.0,7.0,4743.0,147.6
2,Falmouth,2016.0,17.0,11536.0,147.4
3,Richmond,2009.0,5.0,3394.0,147.3
4,Wells,2011.0,14.0,9548.0,146.6
5,Gorham,2010.0,24.0,16381.0,146.5
6,Mount Desert,2013.0,3.0,2048.0,146.5
7,Wells,2009.0,14.0,9559.0,146.5
8,Richmond,2012.0,5.0,3417.0,146.3
9,Albion,2015.0,3.0,2057.0,145.8
10,Windham,2011.0,25.0,17173.0,145.6
11,Falmouth,2008.0,16.0,11021.0,145.2
12,Windham,2012.0,25.0,17226.0,145.1
13,Kennebunkport,2012.0,5.0,3454.0,144.8
14,Gorham,2012.0,24.0,16584.0,144.7
15,Livermore,2013.0,3.0,2079.0,144.3
16,Yarmouth,2012.0,12.0,8319.0,144.2
17,Thomaston,2010.0,4.0,2781.0,143.8
18,Boothbay Harbor,2014.0,3.0,2088.0,143.7
19,Boothbay Harbor,2016.0,3.0,2088.0,143.7
20,West Gardiner,2012.0,5.0,3479.0,143.7
21,Thomaston,2012.0,4.0,2785.0,143.6
22,New Gloucester,2008.0,8.0,5592.0,143.1
23,Gorham,2013.0,24.0,16789.0,143.0
24,York,2011.0,18.0,12608.0,142.8
25,Winthrop,2008.0,9.0,6319.0,142.4
26,Yarmouth,2014.0,12.0,8434.0,142.3
27,Damariscotta,2009.0,3.0,2111.0,142.1
28,Gray,2010.0,11.0,7761.0,141.7
29,Kennebunkport,2009.0,5.0,3533.0,141.5
30,Sidney,2015.0,6.0,4253.0,141.1
31,Unity,2016.0,3.0,2128.0,141.0
32,New Gloucester,2015.0,8.0,5677.0,140.9
33,Waterboro,2011.0,11.0,7827.0,140.5
34,North Yarmouth,2010.0,5.0,3565.0,140.3
35,Waterboro,2016.0,11.0,7897.0,139.3
36,Standish,2012.0,14.0,10058.0,139.2
37,Farmingdale,2008.0,4.0,2880.0,138.9
38,Alfred,2008.0,4.0,2882.0,138.8
39,Cumberland,2010.0,10.0,7211.0,138.7
40,China,2015.0,6.0,4335.0,138.4
41,Waldoboro,2013.0,7.0,5058.0,138.4
42,Topsham,2013.0,12.0,8697.0,138.0
43,Gardiner,2010.0,8.0,5800.0,137.9
44,Waldoboro,2010.0,7.0,5075.0,137.9
45,Waldoboro,2011.0,7.0,5086.0,137.6
46,Topsham,2015.0,12.0,8737.0,137.3
47,Topsham,2016.0,12.0,8737.0,137.3
48,Hollis,2012.0,6.0,4373.0,137.2
49,Belfast,2015.0,9.0,6566.0,137.1
50,Damariscotta,2011.0,3.0,2192.0,136.9
51,Kittery,2012.0,13.0,9496.0,136.9
52,Lincolnville,2014.0,3.0,2193.0,136.8
53,Litchfield,2013.0,5.0,3656.0,136.8
54,Phippsburg,2014.0,3.0,2194.0,136.7
55,Farmingdale,2009.0,4.0,2932.0,136.4
56,Limerick,2011.0,4.0,2938.0,136.1
57,Phippsburg,2012.0,3.0,2204.0,136.1
58,South Berwick,2013.0,10.0,7347.0,136.1
59,Vassalboro,2009.0,6.0,4410.0,136.1
60,Brunswick,2014.0,28.0,20600.0,135.9
61,Orrington,2014.0,5.0,3680.0,135.9
62,Orrington,2015.0,5.0,3680.0,135.9
63,Hollis,2013.0,6.0,4425.0,135.6
64,Greene,2016.0,6.0,4432.0,135.4
65,Farmingdale,2010.0,4.0,2956.0,135.3
66,Buxton,2013.0,11.0,8138.0,135.2
67,Limerick,2012.0,4.0,2959.0,135.2
68,Wiscasset,2015.0,5.0,3713.0,134.7
69,Augusta,2016.0,25.0,18641.0,134.1
70,Berwick,2012.0,10.0,7464.0,134.0
71,Lebanon,2009.0,8.0,5978.0,133.8
72,Augusta,2013.0,25.0,18711.0,133.6
73,Casco,2010.0,5.0,3742.0,133.6
74,Wiscasset,2009.0,5.0,3746.0,133.5
75,Bar Harbor,2013.0,7.0,5247.0,133.4
76,Wiscasset,2008.0,5.0,3750.0,133.3
77,Lincolnville,2009.0,3.0,2252.0,133.2
78,Winthrop,2011.0,8.0,6007.0,133.2
79,Woolwich,2009.0,4.0,3003.0,133.2
80,Canaan,2013.0,3.0,2261.0,132.7
81,Limington,2011.0,5.0,3778.0,132.3
82,Standish,2008.0,13.0,9828.0,132.3
83,Raymond,2012.0,6.0,4540.0,132.2
84,Union,2009.0,3.0,2270.0,132.2
85,Holden,2013.0,4.0,3044.0,131.4
86,Naples,2009.0,5.0,3804.0,131.4
87,Gardiner,2008.0,8.0,6093.0,131.3
88,Mechanic Falls,2012.0,4.0,3063.0,130.6
89,North Berwick,2012.0,6.0,4614.0,130.0
90,Durham,2010.0,5.0,3848.0,129.9
91,Skowhegan,2013.0,11.0,8471.0,129.9
92,North Berwick,2016.0,6.0,4623.0,129.8
93,Hallowell,2016.0,3.0,2317.0,129.5
94,Gorham,2009.0,21.0,16225.0,129.4
95,Boothbay,2015.0,4.0,3094.0,129.3
96,Gray,2009.0,10.0,7737.0,129.2
97,Poland,2013.0,7.0,5419.0,129.2
98,Union,2008.0,3.0,2326.0,129.0
99,Augusta,2015.0,24.0,18641.0,128.7
100,Leeds,2014.0,3.0,2337.0,128.4
101,Eliot,2011.0,8.0,6234.0,128.3
102,Brunswick,2009.0,27.0,21141.0,127.7
103,Harpswell,2012.0,6.0,4697.0,127.7
104,Leeds,2011.0,3.0,2358.0,127.2
105,Leeds,2012.0,3.0,2362.0,127.0
106,Oakland,2015.0,8.0,6305.0,126.9
107,Harpswell,2011.0,6.0,4737.0,126.7
